document_title,abstract,year,link,label
The SecureGroup group communication system,The SecureGroup group communication system multicasts messages to a group of processors over a local-area network; and delivers messages reliably and in total order. It also maintains the membership of the group; detecting and removing faulty processors and admitting new and repaired processors. The SecureGroup system provides resistance against Byzantine faults such as might be caused by a captured or subverted processor or by a Trojan horse. The reliable message delivery protocol employs hardware broadcasts and novel acknowledgment mechanisms that reduce the number of acknowledgments and messages required to ensure reliable delivery. The total ordering protocol continues to order messages despite the presence of Byzantine and crash faults; provided that a resilience requirement is satisfied. The group membership protocol operates above the total ordering protocol and; thus; simplifies its design and protects it against malicious attacks,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=821525,no
Software fault injection for survivability,In this paper; we present an approach and experimental results from using software fault injection to assess information survivability. We define information survivability to mean the ability of an information system to continue to operate in the presence of faults; anomalous system behavior; or malicious attack. In the past; finding and removing software flaws has traditionally been the realm of software testing. Software testing has largely concerned itself with ensuring that software behaves correctly-an intractable problem for any non-trivial piece of software. In this paper; we present off-nominal testing techniques; which are not concerned with the correctness of the software; but with the survivability of the software in the face of anomalous events and malicious attack. Where software testing is focused on ensuring that the software computes the specified function correctly; we are concerned that the software continues to operate in the presence of faults; unusual system events or malicious attacks,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=821531,no
Software reliability models with time-dependent hazard function based on Bayesian approach,In this paper; two models predicting mean time until next failure based on Bayesian approach are presented. Times between failures follow Weibull distributions with stochastically decreasing ordering on the hazard functions of successive failure time intervals; reflecting the tester's intent to improve the software quality with each corrective action. We apply the proposed models to actual software failure data and show they give better results under sum of square errors criteria as compared to previous Bayesian models and other existing times between failures models. Finally; we utilize likelihood ratios criterion to compare new model's predictive performance,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=823478,no
Survivability through customization and adaptability: the Cactus approach,Survivability; the ability of a system to tolerate intentional attacks or accidental failures or errors; is becoming increasingly important with the extended use of computer systems in society. While techniques such as cryptographic methods; intrusion detection; and traditional fault tolerance are currently being used to improve the survivability of such systems; new approaches are needed to help reach the levels that will be required in the near future. This paper proposes the use of fine-grain customization and dynamic adaptation as key enabling technologies in a new approach designed to achieve this goal. Customization not only supports software diversity; but also allows customized tradeoffs to be made between different QoS attributes including performance; security; reliability and survivability. Dynamic adaptation allows survivable services to change their behavior at runtime as a reaction to anticipated or detected intrusions or failures. The Cactus system provides support for both fine-grain customization and dynamic adaptation; thereby offering a potential solution for building survivable software in networked systems,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=825033,no
The effectiveness of software development technical reviews: a behaviorally motivated program of research,Software engineers use a number of different types of software development technical review (SDTR) for the purpose of detecting defects in software products. This paper applies the behavioral theory of group performance to explain the outcomes of software reviews. A program of empirical research is developed; including propositions to both explain review performance and identify ways of improving review performance based on the specific strengths of individuals and groups. Its contributions are to clarify our understanding of what drives defect detection performance in SDTRs and to set an agenda for future research. In identifying individuals' task expertise as the primary driver of review performance; the research program suggests specific points of leverage for substantially improving review performance. It points to the importance of understanding software reading expertise and implies the need for a reconsideration of existing approaches to managing reviews,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=825763,no
Technology transfer issues for formal methods of software specification,Accurate and complete requirements specifications are crucial for the design and implementation of high-quality software. Unfortunately; the articulation and verification of software system requirements remains one of the most difficult and error-prone tasks in the software development lifecycle. The use of formal methods; based on mathematical logic and discrete mathematics; holds promise for improving the reliability of requirements articulation and modeling. However; formal modeling and reasoning about requirements has not typically been a part of the software analyst's education and training; and because the learning curve for the use of these methods is nontrivial; adoption of formal methods has proceeded slowly. As a consequence; technology transfer is a significant issue in the use of formal methods. In this paper; several efforts undertaken at NASA aimed at increasing the accessibility of formal methods are described. These include the production of the following: two NASA guidebooks on the concepts and applications of formal methods; a body of case studies in the application of formal methods to the specification of requirements for actual NASA projects; and course materials for a professional development course introducing formal methods and their application to the analysis and design of software-intensive systems. In addition; efforts undertaken at two universities to integrate instruction on formal methods based on these NASA materials into the computer science and software engineering curricula are described.,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=827014,no
Analyzing Java software by combining metrics and program visualization,Shimba; a prototype reverse engineering environment; has been built to support the understanding of Java software. Shimba uses Rigi and SCED to analyze; visualize; and explore the static and dynamic aspects; respectively; of the subject system. The static software artifacts and their dependencies are extracted from Java byte code and viewed as directed graphs using the Rigi reverse engineering environment. The static dependency graphs of a subject system can be annotated with attributes; such as software quality measures; and then be analyzed and visualised using scripts through the end user programmable interface. Shimba has recently been extended with the Chidamber and Kemerer suite of object oriented metrics. The metrics measure properties of the classes; the inheritance hierarchy; and the interaction among classes of a subject system. Since Shimba is primarily intended for the analysis and exploration of Java software; the metrics have been tailored to measure properties of software systems using a reverse engineering environment. The static dependency graphs of the system under investigation are decorated with measures obtained by applying the object oriented metrics to selected software components. Shimba provides tools to examine these measures; to find software artifacts that have values that are in a given range; and to detect correlations among different measures. The object oriented analysis of the subject Java system can be investigated further by exporting the measures to a spreadsheet,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=827328,no
Proactive maintenance tools for transaction oriented wide area networks,The motivation of the work presented in this paper comes from a real network management center in charge of supervising a very large hybrid telecommunications/data transaction-oriented network. We present a set of tools that we have developed and implemented in the AT&T Transaction Access Services (TAS) network; in order to automate and facilitate the process of diagnosing network faults and identifying the potentially affected elements; resources and customers. Specifically in this paper we describe the development implementation and use of the following systems: (a) the TAS Information and Tracking System (TIMATS) that provides a common framework for the storage and retrieval of provisioning; capacity management and maintenance data; (b) the Transactions Event Viewer (TEVIEW) system that generates; filters; and presents diagnostic events that indicate system occurrences or conditions that may cause a degradation of the service; and (c) the Transaction Instantaneous Anomaly Notification (TRISTAN) system which implements an adaptive network anomaly detection software that detects network and service anomalies of TAS as dynamically defined violations of the base-lined performance characteristics and profiles,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=830433,no
When management agents become autonomous; how to ensure their reliability?,Increasingly nowadays; networks are managed in a hierarchical; yet evolving to a distributed manner. The managed network is divided into sub-networks or domains that are managed more or less independently by autonomous agents. Once the failure of an agent is detected; it becomes even possible to have a further improvement by re-affecting the management tasks of the unreliable agent among the other agents in a way to ensure that the whole network continues to be reliably managed. This provides the property of graceful degradation to the distributed management system. The work presented in this paper provides a first step towards this interesting improvement. To ensure that the whole network is still managed even if a number of agents become unreliable; it is necessary to install a mechanism that continuously checks the reliability of the agents. When unreliable agents are detected; the management tasks that they have been performing are re-distributed amongst the other still-reliable agents. At some time in the future; the agent with the abnormal behavior might recover; for example following a human intervention; and the tasks that have been re-distributed on the other agents should be assigned back to the recovered agents,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=830451,no
A network measurement architecture for adaptive applications,The quality of network connectivity between a pair of Internet hosts can vary greatly. Adaptive applications can cope with these differences in connectivity by choosing alternate representations of objects or streams or by downloading the objects from alternate locations. In order to effectively adapt; applications must discover the condition of the network before communicating with distant hosts. Unfortunately; the ability to predict or report the quality of connectivity is missing in today's suite of Internet services. To address this limitation; we have developed SPAND (shared passive network performance discovery); a system that facilitates the development of adaptive network applications. In each domain; applications make passive application specific measurements of the network and store them in a local centralized repository of network performance information. Other applications may retrieve this information from the repository and use the shared experiences of all hosts in a domain to predict future performance. In this way; applications can make informed decisions about adaptation choices as they communicate with distant hosts. In this paper; we describe and evaluate the SPAND architecture and implementation. We show how the architecture makes it easy to integrate new applications into our system and how the architecture has been used with specifics types of data transport. Finally; we describe LookingGlass; a WWW mirror site selection tool that uses SPAND. LookingGlass meets the conflicting goals of collecting passive network performance measurements and maintaining good client response times. In addition; LookingGlass's server selection algorithms based on application level measurements perform much better than techniques that rely on geographic location or route metrics,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=832198,no
Sensitivity analysis of modular dynamic fault trees,Dynamic fault tree analysis; as currently supported by the Galileo software package; provides an effective means for assessing the reliability of embedded computer-based systems. Dynamic fault trees extend traditional fault trees by defining special gates to capture sequential and functional dependency characteristics. A modular approach to the solution of dynamic fault trees effectively applies Binary Decision Diagram (BOD) and Markov model solution techniques to different parts of the dynamic fault tree model. Reliability analysis of a computer-based system tells only part of the story; however. Follow-up questions such as Where are the weak links in the system?; How do the results change if my input parameters change? and What is the most cost effective way to improve reliability? require a sensitivity analysis of the reliability analysis. Sensitivity analysis (often called Importance Analysis) is not a new concept; but the calculation of sensitivity measures within the modular solution methodology for dynamic and static fault trees raises some interesting issues. In this paper we address several of these issues; and present a modular technique for evaluating sensitivity; a single traversal solution to sensitivity analysis for BOD; a simplified methodology for estimating sensitivity for Markov models; and a discussion of the use of sensitivity measures in system design. The sensitivity measures for both the Binary Decision Diagram and Markov approach presented in this paper is implemented in Galileo; a software package for reliability analysis of complex computer-based systems,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=839462,no
Reaching efficient fault-tolerance for cooperative applications,Cooperative applications are widely used; e.g. as parallel calculations or distributed information processing systems. Whereby such applications meet the users demand and offer a performance improvement; the susceptibility to faults of any used computer node is raised. Often a single fault may cause a complete application failure. On the other hand; the redundancy in distributed systems can be utilized for fast fault detection and recovery. So; we followed an approach that is based an duplication of each application process to detect crashes and faulty functions of single computer nodes. We concentrate on two aspects of efficient fault-tolerance-fast fault detection and recovery without delaying the application progress significantly. The contribution of this work is first a new fault detecting protocol for duplicated processes. Secondly; we enhance a roll forward recovery scheme so that it is applicable to a set of cooperative processes in conformity to the protocol,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=839463,no
NFTAPE: a framework for assessing dependability in distributed systems with lightweight fault injectors,Many fault injection tools are available for dependability assessment. Although these tools are good at injecting a single fault model into a single system; they suffer from two main limitations for use in distributed systems: (1) no single tool is sufficient for injecting all necessary fault models; (2) it is difficult to port these tools to new systems. NFTAPE; a tool for composing automated fault injection experiments from available lightweight fault injectors; triggers; monitors; and other components; helps to solve these problems. We have conducted experiments using NFTAPE with several types of lightweight fault injectors; including driver-based; debugger-based; target-specific; simulation-based; hardware-based; and performance-fault injections. Two example experiments are described in this paper. The first uses a hardware fault injector with a Myrinet LAN; the other uses a Software Implemented Fault Injection (SWIFI) fault injector to target a space-imaging application,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=839467,no
SAABNet: Managing qualitative knowledge in software architecture assessment,Quantitative techniques have traditionally been used to assess software architectures. We have found that early in development process there is often insufficient quantitative information to perform such assessments. So far the only way to make qualitative assessments about an architecture; is to use qualitative assessment techniques such as peer reviews. The problem with this type of assessment is that they depend on the techniques knowledge of the expert designers who use them. In this paper we introduce a technique; SAABNet (Software Architecture Assessment Belief Network); that provides support to make qualitative assessments of software architectures,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=839860,no
Evaluating system dependability in a co-design framework,The widespread adoption of embedded microprocessor-based systems for safety critical applications mandates the use of co-design tools able to evaluate system dependability at every step of the design cycle. In this paper; we describe how fault injection techniques have been integrated in an existing co-design tool and which advantages come from the availability of such an enhanced tool. The effectiveness of the proposed tool is assessed on a simple case study,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840844,no
Scalable QoS guaranteed communication services for real-time applications,We propose an approach to flow-unaware admission control which is a combination with an aggregate packet forwarding scheme; improving scalability of networks while guaranteeing end-to-end deadlines for real-time applications. We achieve this by using an off-line delay computation and verification step; which allows to reduce the overhead at admission control while keeping admission probability and resource utilization high. Our evaluation data show that our system's admission probabilities are very close to those of significantly more expensive flow-aware approaches. At the same time; the admission control overhead during flow establishment is very low. Our results therefore support the claim from the DS architecture literature that scalability can be achieved through flow aggregation without sacrificing resource utilization and with significant reduction in run time overhead,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840928,no
Computing global functions in asynchronous distributed systems prone to process crashes,Global data is a vector with one entry per process. Each entry must be filled with an appropriate value provided by the corresponding process. Several distributed computing problems amount to compute a function on global data. This paper proposes a protocol to solve such problems in the context of asynchronous distributed systems where processes may fail by crashing. The main problem that has to be solved lies in computing the global data and in providing each non-crashed process with a copy of it; despite the possible crash of some processes. To be consistent; the global data must contain (at least) all the values provided by the processes that do not crash. This defines the global data computation (GDC) problem. To solve this problem; processes execute a sequence of asynchronous rounds during which they construct (in a decentralized way) the value of the global data; and eventually each process gets a copy of it. To cope with process crashes; the protocol uses a perfect failure detector. The proposed protocol has been designed to be time-efficient. It allows early decisions. Let t be the maximum number of processes that may crash (t<n where n is the total number of processes) and f be the actual number of process crashes (f&les;t). In the worst case; the protocol terminates in min(2f+2;t+1) rounds. Moreover the protocol does not require processes to exchange information on their perception of crashes. The message size depends only on the size of the global data,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=840973,no
An analytical model for loop tiling and its solution,The authors address the problem of estimating the performance of loop tiling; an important program transformation for improved memory hierarchy utilization. We introduce an analytical model for estimating the memory cost of a loop nest as a rational polynomial in tile size variables. We also present a constant-time algorithm for finding an optimal solution to the model (i.e.; for selecting optimal tile sizes) for the case of doubly nested loops. This solution can be applied to tiling of three loops by performing an iterative search on the value of the first tile size variable; and using the constant-time algorithm at each point in the search to obtain optimal tile size values for the remaining two loops. Our solution is efficient enough to be used in production-quality optimizing compilers; and has been implemented in the IBM XL Fortran product compilers. This solution can also be used by processor designers to efficiently predict the performance of a set of tiled loops for a range of memory hierarchy parameters,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=842294,no
Adaptive and automated detection of service anomalies in transaction-oriented WANs: network analysis; algorithms; implementation; and deployment,Algorithms and software for proactive and adaptive detection of network/service anomalies (i.e.; performance degradations) have been developed; implemented; deployed; and field-tested for transaction-oriented wide area networks (WANs). A real-time anomaly detection system called TRISTAN (transaction instantaneous anomaly notification) has been implemented; and is deployed in the commercially important AT&T transaction access services (TAS) network. TAS is a high volume; multiple service classes; hybrid telecom and data WAN that services transaction traffic in the U.S. and neighboring countries. TRISTAN adaptively and preactively detects network/service performance anomalies in multiple-service-class-based and transaction-oriented networks; where performances of service classes are mutually dependent and correlated; where environmental factors (e.g.; nonmanaged or nonmonitored equipment within customer premises) can strongly impact network and service performances. Specifically; TRISTAN implements algorithms that: 1) sample and convert raw transaction records to service-class based performance data in which potential network anomalies are highlighted; 2) automatically construct adaptive and service-class-based performance thresholds from historical transaction records for detecting network and service anomalies; and 3) perform real-time network/service anomaly detection. TRISTAN is demonstrated to be capable of proactively detecting network/service anomalies; which easily elude detection by the traditional alarm-based network monitoring systems.,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=842990,no
NESTOR: an architecture for network self-management and organization,Configuration management presently requires complex labor-intensive processes by experts. A single configuration task-installing/reconfiguring a system; or provisioning a service-typically involves a large number of activities fragmented among multiple network elements; each with its own proprietary configuration management instrumentation and tools. A change may cause configuration inconsistencies resulting in failures or inefficiencies; undoing changes to recover an operational state is often very difficult or even practically impossible. Therefore; configuration management is very costly; error prone; and often results in unpredictable failures and costly recovery. NESTOR seeks to replace labor-intensive configuration management with one that is automated and software-intensive. Configuration management is automated by policy scripts that access and manipulate respective network elements via a resource directory server (RDS). RDS provides a uniform object-relationship model of network resources and represents consistency in terms of constraints; it supports atomicity and recovery of configuration change transactions; and mechanisms to assure consistency through changes. RDS pushes configuration changes to network elements using a layer of adapters that translate operations on its object-relationship model to actions on respective elements. NESTOR has been implemented in two complementary versions and is now being applied to automate several configuration management scenarios of increasing complexity; with encouraging results.,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=842991,no
A comparison of mobile agent and client-server paradigms for information retrieval tasks in virtual enterprises,In next-generation enterprises it will become increasingly important to retrieve information efficiently and rapidly from widely dispersed sites in a virtual enterprise; and the number of users who wish to do using wireless and portable devices will increase significantly. We consider the use of mobile agent technology rather than traditional client-server computing for information retrieval by mobile and wireless users in a virtual enterprise. We argue that to be successful mobile agent platforms must coexist with; and be presented to the applications programmer side-by-side with; traditional client-server middleware like CORBA and DOOM; and we sketch a middleware architecture for doing so. We then develop an analytical model that examines the claimed performance benefits of mobile agents over client-server computing for a mobile information retrieval scenario. Our evaluation of the model shows that mobile agents are not always better than client-server calls in terms of average response times; they are only beneficial if the space overhead of the mobile agent code is not too large or if the wireless link connecting the mobile user to the fixed servers of the virtual enterprise is error-prone,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=843295,no
Modeling and analysis of software aging and rejuvenation,Software systems are known to suffer from outages due to transient errors. Recently; the phenomenon of software aging; one in which the state of the software system degrades with time; has been reported. To counteract this phenomenon; a proactive approach of fault management; called software rejuvenation; has been proposed. This essentially involves gracefully terminating an application or a system and restarting it in a clean internal state. We discuss stochastic models to evaluate the effectiveness of proactive fault management in operational software systems and determine optimal times to perform rejuvenation; for different scenarios. The latter part of the paper deals with measurement-based methodologies to detect software aging and estimate its effect on various system resources. Models are constructed using workload and resource usage data collected from the UNIX operating system over a period of time. The measurement-based models are intended to help development of strategies for software rejuvenation triggered by actual measurements,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844925,no
A quality control method for nuclear instrumentation and control systems based on software safety prediction,In the case of safety-related applications like nuclear instrumentation and control (NI&C); safety-oriented quality control is required. The objective of this paper is to present a software safety classification method as a safety-oriented quality control tool. Based on this method; we predict the risk (and thus safety) of software items that are at the core of NI&C systems. Then we classify the software items according to the degree of the risk. The method can be used earlier than at the detailed design phase. Furthermore; the method can also be used in all the development phases without major changes. The proposed method seeks to utilize the measures that can be obtained from the safety analysis and requirements analysis. Using the measures proved to be desirable in a few aspects. The authors have introduced fuzzy approximate reasoning to the classification method because experts' knowledge covers the vague frontiers between good quality and bad quality with linguistic uncertainty and fuzziness. Fuzzy Colored Petri Net (FCPN) is introduced in order to offer a formal framework for the classification method and facilitate the knowledge representation; modification; or verification. Through the proposed quality control method; high-quality NI&C systems can be developed effectively and used safely,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=846274,no
Experimental testing of a neural network based digital differential relay for synchronous generators,This paper describes the laboratory implementation and real-time test results of a new neural network (NN) based digital differential relay used for detecting faults and classifying internal faults in the stator winding of synchronous generators. Details of the software written to enable the operation of the relay are described. Behavior of the NN based relay is observed and the experimental results are presented,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=847232,no
